WiiAccX,WiiAccY,WiiAccZ,,,,CogX,CogY,,,cursorX,cursorY
-0.458333343,-0.458333343,0.75,0,0,0,-1.380613208,-2.663098097,0,0,216,413
-0.416666657,-0.458333343,0.708333313,0,0,0,-1.408941865,-2.666417122,0,0,215,412
-0.416666657,-0.5,0.666666687,0,0,0,-1.444418073,-2.678187609,0,0,215,409
-0.458333343,-0.5,0.708333313,0,0,0,-1.450302839,-2.692411423,0,0,215,407
-0.458333343,-0.458333343,0.75,0,0,0,-1.411268473,-2.68657279,0,0,215,404
-0.5,-0.458333343,0.791666687,0,0,0,-1.411268473,-2.68657279,0,0,216,401
-0.5,-0.458333343,0.791666687,0,0,0,-1.495143056,-2.673798323,0,0,217,398
-0.5,-0.458333343,0.708333313,0,0,0,-1.495143056,-2.673798323,0,0,217,397
-0.458333343,-0.458333343,0.666666687,0,0,0,-1.465616584,-2.703518391,0,0,217,395
-0.416666657,-0.458333343,0.666666687,0,0,0,-1.488059163,-2.711653948,0,0,217,393
-0.458333343,-0.458333343,0.75,0,0,0,-1.48668015,-2.682346821,0,0,217,391
-0.541666687,-0.458333343,0.791666687,0,0,0,-1.52705431,-2.690718651,0,0,216,389
-0.541666687,-0.458333343,0.791666687,0,0,0,-1.535960555,-2.67540884,0,0,214,385
-0.583333313,-0.5,0.75,0,0,0,-1.522076249,-2.693660736,0,0,212,380
-0.583333313,-0.5,0.708333313,0,0,0,-1.577106714,-2.70063591,0,0,212,375
-0.541666687,-0.458333343,0.708333313,0,0,0,-1.556703329,-2.699630737,0,0,211,370
-0.541666687,-0.458333343,0.791666687,0,0,0,-1.562901258,-2.687427044,0,0,209,364
-0.541666687,-0.458333343,0.791666687,0,0,0,-1.594204187,-2.715320826,0,0,208,358
-0.583333313,-0.458333343,0.708333313,0,0,0,-1.565097213,-2.714917183,0,0,207,353
-0.541666687,-0.458333343,0.708333313,0,0,0,-1.574036241,-2.691818953,0,0,206,349
-0.458333343,-0.416666657,0.75,0,0,0,-1.508900881,-2.713260174,0,0,203,344
-0.458333343,-0.416666657,0.75,0,0,0,-1.534633636,-2.699944735,0,0,202,341
-0.458333343,-0.416666657,0.75,0,0,0,-1.587598562,-2.749435663,0,0,200,336
-0.583333313,-0.458333343,0.75,0,0,0,-1.595553041,-2.774877071,0,0,199,332
-0.583333313,-0.458333343,0.75,0,0,0,-1.589378119,-2.768116951,0,0,199,327
-0.541666687,-0.416666657,0.75,0,0,0,-1.606199265,-2.762803078,0,0,199,321
-0.458333343,-0.375,0.75,0,0,0,-1.622334599,-2.729175806,0,0,199,316
-0.458333343,-0.416666657,0.75,0,0,0,-1.649357677,-2.73756671,0,0,202,308
-0.541666687,-0.416666657,0.708333313,0,0,0,-1.672760963,-2.716127396,0,0,204,302
-0.541666687,-0.416666657,0.708333313,0,0,0,-1.632768154,-2.697286844,0,0,205,297
-0.541666687,-0.416666657,0.75,0,0,0,-1.654742479,-2.715894699,0,0,205,293
-0.541666687,-0.416666657,0.875,0,0,0,-1.594687343,-2.692282915,0,0,206,289
-0.541666687,-0.375,0.875,0,0,0,-1.630895257,-2.708879232,0,0,207,286
-0.541666687,-0.416666657,0.791666687,0,0,0,-1.650453448,-2.666257858,0,0,208,282
-0.541666687,-0.416666657,0.75,0,0,0,-1.666659713,-2.652695656,0,0,210,278
-0.541666687,-0.416666657,0.791666687,0,0,0,-1.655752659,-2.645990849,0,0,213,275
-0.541666687,-0.416666657,0.791666687,0,0,0,-1.660374761,-2.616161346,0,0,216,271
-0.541666687,-0.375,0.875,0,0,0,-1.723951936,-2.619142294,0,0,220,267
-0.541666687,-0.375,0.875,0,0,0,-1.645804167,-2.609661102,0,0,223,264
-0.5,-0.375,0.791666687,0,0,0,-1.675038099,-2.606176853,0,0,226,262
-0.5,-0.375,0.75,0,0,0,-1.641667485,-2.595785379,0,0,228,261
-0.5,-0.375,0.75,0,0,0,-1.696277976,-2.621345997,0,0,232,259
-0.458333343,-0.375,0.75,0,0,0,-1.668306947,-2.642565966,0,0,236,258
-0.416666657,-0.333333343,0.75,0,0,0,-1.598806739,-2.622225761,0,0,240,256
-0.416666657,-0.291666657,0.833333313,0,0,0,-1.630303144,-2.646260738,0,0,245,255
-0.458333343,-0.291666657,0.833333313,0,0,0,-1.62034452,-2.609722137,0,0,247,254
-0.5,-0.375,0.75,0,0,0,-1.604669213,-2.579028845,0,0,247,253
-0.541666687,-0.416666657,0.666666687,0,0,0,-1.584091783,-2.535234928,0,0,253,250
-0.625,-0.416666657,0.75,0,0,0,-1.597682714,-2.497152567,0,0,259,245
-0.625,-0.375,0.791666687,0,0,0,-1.597682714,-2.497152567,0,0,265,239
-0.625,-0.375,0.833333313,0,0,0,-1.576246619,-2.490473509,0,0,267,236
-0.625,-0.333333343,0.875,0,0,0,-1.542789698,-2.514841318,0,0,276,228
-0.583333313,-0.291666657,0.875,0,0,0,-1.530499697,-2.528288603,0,0,281,222
-0.583333313,-0.333333343,0.833333313,0,0,0,-1.535194993,-2.513274193,0,0,284,217
-0.583333313,-0.333333343,0.833333313,0,0,0,-1.539013863,-2.477171898,0,0,285,214
-0.625,-0.375,0.833333313,0,0,0,-1.539013863,-2.477171898,0,0,292,208
-0.625,-0.375,0.875,0,0,0,-1.527697682,-2.484151363,0,0,298,202
-0.625,-0.333333343,0.875,0,0,0,-1.508293629,-2.493109226,0,0,300,199
-0.625,-0.333333343,0.916666687,0,0,0,-1.508293629,-2.493109226,0,0,305,194
-0.625,-0.333333343,0.875,0,0,0,-1.51161015,-2.476236105,0,0,307,192
-0.583333313,-0.291666657,0.875,0,0,0,-1.460649252,-2.471936703,0,0,312,186
-0.458333343,-0.291666657,0.875,0,0,0,-1.511628628,-2.464317322,0,0,317,180
-0.416666657,-0.291666657,0.916666687,0,0,0,-1.511628628,-2.464317322,0,0,320,178
-0.458333343,-0.25,0.916666687,0,0,0,-1.482551813,-2.463675976,0,0,322,176
-0.5,-0.291666657,0.916666687,0,0,0,-1.460233212,-2.440251827,0,0,328,172
-0.625,-0.333333343,0.833333313,0,0,0,-1.501692057,-2.435556889,0,0,333,168
-0.625,-0.333333343,0.833333313,0,0,0,-1.501692057,-2.435556889,0,0,336,167
-0.625,-0.333333343,0.791666687,0,0,0,-1.495489717,-2.420480013,0,0,338,167
-0.583333313,-0.291666657,0.791666687,0,0,0,-1.557315111,-2.423435688,0,0,341,165
-0.458333343,-0.25,0.833333313,0,0,0,-1.510462046,-2.38018465,0,0,343,165
-0.458333343,-0.25,0.875,0,0,0,-1.480496407,-2.351341486,0,0,344,164
-0.458333343,-0.25,0.875,0,0,0,-1.480496407,-2.351341486,0,0,346,164
-0.5,-0.25,0.833333313,0,0,0,-1.451038003,-2.345979214,0,0,348,164
-0.541666687,-0.291666657,0.75,0,0,0,-1.451038003,-2.345979214,0,0,353,163
-0.541666687,-0.291666657,0.666666687,0,0,0,-1.435644984,-2.342216492,0,0,361,163
